タワーｘ,ｙ,HP,キャラ座標ｘ,ｙ,ゴミ,レベルアップまでのでアイテム個数int
400,300,1800,400,300,0,10
敵ｘ double,ｙ double,パタターン int,アイテム int,出現カウントint,HP double,落とす個数
200,-100,2,1,0,1,1
250,-100,2,1,10,1,1
300,-100,2,1,20,1,1
350,-100,2,1,30,1,1
400,-100,2,1,40,1,1
450,-100,2,1,30,1,1
500,-100,2,1,20,1,1
550,-100,2,1,10,1,1
600,-100,2,1,0,1,1
200,700,2,2,10,1,1
250,700,2,2,20,1,1
300,700,2,2,30,1,1
350,700,2,2,40,1,1
400,700,2,2,30,1,1
450,700,2,2,20,1,1
500,700,2,2,10,1,1
550,700,2,2,310,1,1
600,700,2,2,300,1,1
0,-100,2,1,400,10,1
0,300,2,2,410,10,1
0,700,2,1,420,10,1
400,700,2,2,430,10,1
800,700,2,1,440,10,1
800,600,2,2,450,10,1
800,300,2,1,460,10,1
800,-100,2,2,470,10,1
400,-100,2,1,480,10,1
0,-100,2,2,490,10,1
200,700,2,3,1000,200,1
400,700,2,3,1000,200,1
600,700,2,3,1000,200,1
0,-100,2,2,800,15,1
400,-100,2,1,820,15,1
800,-100,2,2,840,15,1
800,300,2,1,860,15,1
800,600,2,2,880,15,1
800,700,2,1,900,15,1
400,700,2,2,920,15,1
0,700,2,1,940,15,1
0,300,2,2,960,15,1
