タワーｘ,ｙ,HP,キャラ座標ｘ,ｙ,ゴミ,レベルアップまでのでアイテム個数int
400,300,1800,400,300,0,10
敵ｘ double,ｙ double,パタターン int,アイテム int,出現カウントint,HP double,アイテム個数
0,250,2,2,100,10,1
0,300,2,1,150,10,1
0,350,2,2,200,10,1
450,-100,2,1,100,10,1
400,-100,2,1,150,10,1
350,-100,2,1,200,10,1
800,350,2,2,100,10,1
800,300,2,1,150,10,1
800,250,2,2,200,10,1
350,700,2,1,100,10,1
400,700,2,1,150,10,1
450,700,2,1,200,10,1
400,-100,2,1,600,40,1
0,400,2,2,600,40,1
400,-100,2,1,700,40,1
0,400,2,2,700,40,1
400,-100,2,1,800,40,1
0,400,2,2,800,40,1
800,600,2,1,1300,300,3
0,0,2,2,1300,300,3
400,-100,2,2,2000,10,1
400,700,2,1,2000,10,1
0,300,2,2,2000,10,1
800,300,2,1,2000,10,1
0,-100,2,2,2100,10,1
0,700,2,1,2100,10,1
800,-100,2,2,2100,10,1
800,700,2,1,2100,10,1
0,-100,2,2,3000,60,1
0,300,2,1,3100,55,1
0,700,2,2,3200,50,1
400,700,2,1,3300,45,1
800,700,2,2,3400,40,1
800,600,2,1,3500,35,1
800,300,2,2,3600,30,1
800,-100,2,1,3700,25,1
400,-100,2,2,3800,20,1
0,-100,2,1,3900,15,1
0,700,2,3,4300,400,1
800,-100,2,3,4300,400,1
0,-100,2,1,4800,10,1
0,300,2,2,4850,10,1
0,700,2,1,4900,10,1
400,700,2,2,4950,10,1
800,700,2,1,5000,10,1
800,600,2,2,5050,10,1
800,300,2,1,5100,10,1
800,600,2,2,5050,10,1
800,300,2,1,5100,10,1

